(26597, 13742)
(5247, 25762)
(15898, 15076)
(709, 7170)
(25070, 5028)
(26528, 17998)
(25819, 25660)
(1616, 9282)
(6289, 11139)
(17092, 13034)
(22222, 12914)
(23452, 22621)
(7981, 22601)
(12257, 21760)
(2649, 16711)
(24358, 6341)
(5372, 25470)
(20098, 17911)
(25939, 18519)
(16120, 22962)
(7211, 24806)
(17866, 26148)
(1475, 10277)
(3977, 9540)
(26467, 17870)
(24413, 7623)
(1026, 5651)
(17102, 6104)
(18122, 26079)
(23199, 25846)
(10202, 5325)
(21108, 9031)
(20660, 10369)
(7473, 14753)
(4058, 6983)
(24818, 13508)
(18215, 4188)
(19159, 5304)
(13464, 14264)
(13593, 25658)
(17157, 7785)
(3335, 7794)
(11215, 19345)
(14657, 15417)
(25470, 25708)
(20202, 14879)
(4197, 25353)
(17614, 17303)
(6163, 25312)
(13766, 24424)
(10977, 4200)
(776, 19212)
(2404, 5801)
(14963, 9887)
(11115, 16638)
(5124, 24436)
(6478, 24076)
(21045, 6313)
(6239, 21351)
(12960, 2850)
(14171, 16824)
(5188, 9205)
(4897, 8617)
(25279, 9992)
(21327, 2224)
(23429, 23336)
(147, 11971)
(11854, 15527)
(8518, 23887)
(2469, 1724)
(6006, 21322)
(24354, 22872)
(7344, 17088)
(10220, 36)
(16330, 13529)
(9053, 26177)
(876, 10298)
(16526, 9160)
(10600, 23391)
(19848, 23357)
(8635, 16600)
(15860, 11495)
(9391, 16756)
(4777, 22893)
(19232, 4953)
(5198, 14218)
(25203, 6013)
(6765, 11924)
(15630, 11816)
(23416, 9554)
(16699, 6184)
(13120, 23893)
(7625, 9411)
(23364, 18640)
(24219, 19776)
(24052, 14784)
(17005, 11098)
(15412, 16189)
(23733, 26656)
(15056, 14653)
(19478, 9263)
(21287, 16887)
(5470, 12661)
(13775, 4573)
(17742, 4549)
(23859, 15664)
(1289, 5269)
(7863, 2906)
(18625, 4456)
(2759, 9942)
(26318, 4589)
(16599, 1831)
(24788, 3611)
(25853, 4097)
(14611, 19640)
(828, 14109)
(3443, 17166)
(7912, 388)
(18174, 11852)
(7150, 1097)
(25180, 6180)
(19077, 6261)
(4530, 7689)
(12596, 8814)
(18707, 20141)
(5462, 16950)
(4351, 8228)
(26498, 6084)
(26262, 15675)
(16538, 2445)
(4210, 24384)
(16413, 18817)
(25883, 21276)
(21207, 10473)
(18214, 13484)
(19576, 22802)
(14439, 25246)
(18593, 22812)
(1202, 15983)
(26363, 11604)
(24467, 25559)
(16813, 10367)
(9986, 11107)
(16990, 953)
(21659, 4396)
(12649, 8691)
(13936, 7487)
(14394, 12985)
(263, 16184)
(19687, 8821)
(18920, 23476)
(1505, 22068)
(10262, 20553)
(11128, 9060)
(15025, 19710)
(25313, 933)
(17087, 19413)
(9790, 271)
(12940, 15462)
(2878, 24315)
(15597, 9255)
(18709, 21551)
(10449, 26245)
(12312, 22451)
(15835, 9045)
(17632, 3060)
(7568, 8119)
(13779, 16679)
(13532, 718)
(423, 14584)
(10041, 15069)
(12790, 18783)
(18599, 2695)
(24958, 20090)
(15096, 8880)
(20352, 7652)
(17114, 15479)
(938, 19060)
(24678, 22298)
(15529, 11837)
(18380, 7900)
(6389, 2476)
(25306, 173)
(10866, 18255)
(2902, 23716)
(4792, 17239)
(22632, 9189)
(21670, 25420)
(25970, 709)
(10595, 1006)
(10171, 8722)
(16995, 17644)
(26637, 18935)
(4826, 9172)
(14283, 1206)
(17993, 3749)
(9783, 5805)
(21316, 15297)
(3471, 2987)
(4809, 25040)
(8827, 14922)
(2838, 4890)
(11049, 12972)
(24428, 12638)
(14167, 25650)
(17482, 25543)
(11355, 1905)
(1216, 19348)
(10488, 22189)
(11236, 25861)
(22, 7956)
(17935, 8804)
(4116, 24147)
(15339, 7224)
(12028, 25820)
(9695, 989)
(8787, 17796)
(12276, 1191)
(9962, 22307)
(2927, 1642)
(5978, 15262)
(3379, 99)
(1887, 24487)
(26599, 1300)
(13557, 1339)
(4979, 24224)
(24713, 3939)
(504, 17187)
(5936, 17055)
(21434, 1159)
(4919, 5061)
(26177, 5272)
(23970, 8108)
(23235, 26101)
(6215, 20913)
(18480, 15394)
(19212, 16051)
(13935, 17156)
(265, 10947)
(9173, 19340)
(8394, 5244)
(2680, 23401)
(17768, 14457)
(19500, 11778)
(9910, 13429)
(4821, 17826)
(4590, 25725)
(18552, 10474)
(3675, 11485)
(17451, 14226)
(21359, 21396)
(9238, 15273)
(8485, 624)
(6899, 21272)
(14993, 12079)
(5072, 7905)
(16728, 15847)
(18407, 2795)
(10972, 4162)
(23860, 13917)
(14866, 7617)
(21149, 7673)
(24706, 16265)
(12722, 10568)
(8365, 25613)
(4373, 2180)
(17852, 5740)
(22266, 22464)
(11584, 287)
(6694, 646)
(661, 3758)
(576, 14084)
(8926, 25249)
(10160, 25850)
(533, 23128)
(17528, 15981)
(9329, 9426)
(4534, 13608)
(23734, 17894)
(16723, 20091)
(21103, 2424)
(23212, 26585)
(8416, 14882)
(4478, 16345)
(9949, 6378)
(14907, 16238)
(6032, 4280)
(19925, 12319)
(11362, 24998)
(1439, 18481)
(16742, 20637)
(17433, 2128)
(3530, 24966)
(26233, 633)
(16624, 10811)
(19534, 22503)
(21442, 25595)
(6420, 8552)
(23840, 6727)
(14812, 18199)
(9417, 16539)
(17438, 14776)
(14226, 22717)
(7016, 7908)
(18001, 2659)
(18235, 23801)
(19460, 17592)
(21089, 2633)
(9653, 4563)
(5857, 8031)
(12361, 18022)
(13340, 5085)
(18715, 26066)
(8765, 12815)
(8646, 9765)
(25692, 14009)
(13296, 25731)
(2524, 16050)
(26095, 2007)
(10076, 26299)
(4183, 25415)
(23738, 3421)
(16196, 11767)
(22742, 5629)
(7134, 15252)
(14822, 26159)
(7632, 10682)
(26414, 23738)
(26158, 23951)
(12470, 21968)
(20342, 18215)
(18093, 2750)
(11007, 18708)
(11660, 16964)
(7388, 1438)
(9231, 24907)
(4782, 4185)
(5427, 10521)
(918, 6248)
(612, 2008)
(13130, 20275)
(22906, 6556)
(14802, 22320)
(18769, 9585)
(26295, 945)
(10082, 3935)
(5667, 25707)
(3775, 6381)
(3179, 17165)
(3900, 10117)
(20264, 3942)
(14574, 21121)
(14221, 18736)
(8146, 2885)
(8647, 10883)
(8330, 5350)
(2168, 24806)
(642, 25722)
(2691, 11028)
(12693, 15455)
(6618, 24269)
(22921, 4214)
(24040, 347)
(16785, 24240)
(25732, 10072)
(16018, 143)
(19637, 18186)
(12331, 10669)
(14755, 24785)
(12937, 5198)
(21412, 14307)
(16560, 22317)
(3591, 480)
(10715, 1103)
(15760, 21417)
(20206, 18155)
(12275, 4014)
(17302, 1875)
(4056, 17901)
(20988, 19534)
(2074, 4769)
(8278, 5993)
(17446, 14883)
(20849, 2936)
(24828, 24035)
(19652, 6661)
(11558, 4784)
(19008, 14580)
(25755, 4468)
(9707, 20188)
(7022, 11013)
(13156, 10289)
(13048, 15324)
(20017, 8953)
(12931, 14070)
(7626, 18618)
(18520, 26657)
(25217, 23328)
(16961, 7022)
(7484, 17895)
(4427, 4650)
(19481, 12774)
(23740, 4269)
(17373, 6915)
(13018, 8593)
(16096, 6509)
(4019, 7816)
(8747, 10165)
(4257, 2872)
(10773, 3727)
(12885, 1384)
(20244, 11399)
(6229, 16482)
(16571, 24805)
(21677, 8053)
(9138, 20269)
(11563, 7233)
(10961, 7669)
(26370, 16271)
(7910, 11261)
(15571, 11593)
(16690, 6582)
(21687, 4802)
(9617, 16577)
(9620, 9091)
(21185, 5539)
(6635, 13172)
(2111, 13975)
(4154, 4576)
(11004, 13236)
(25331, 20822)
(11323, 22611)
(23539, 5025)
(6213, 7998)
(4156, 20959)
(19774, 697)
(24858, 15732)
(17088, 8302)
(26009, 14524)
(12691, 22941)
(9978, 22972)
(19604, 6944)
(17065, 22354)
(6125, 22042)
(1205, 13936)
(19000, 26005)
(24946, 7366)
(4578, 9754)
(1815, 24865)
(24500, 1702)
(23061, 25976)
(13634, 14313)
(5758, 17496)
(16816, 26020)
(5748, 6517)
(23127, 10278)
(8737, 9085)
(3446, 26106)
(26543, 1065)
(25972, 2048)
(294, 21747)
(21702, 7266)
(2028, 14162)
(3554, 391)
(24300, 8697)
(17140, 26543)
(2158, 12639)
(3286, 2506)
(26633, 15070)
(834, 5756)
(739, 2660)
(16225, 9761)
(18517, 647)
(13499, 1971)
(15223, 13607)
(2348, 14266)
(10424, 13659)
(23907, 13583)
(11277, 11960)
(25607, 19498)
(21836, 8058)
(12386, 17195)
(9177, 22641)
(23964, 12493)
(23607, 20184)
(3720, 14817)
(2541, 3044)
(18271, 22032)
(14742, 19587)
(16099, 5715)
(13135, 6077)
(1803, 22359)
(3247, 14978)
(9222, 26531)
(23986, 7883)
(1517, 9561)
(23043, 8474)
(9388, 15415)
(21445, 1500)
(4025, 7453)
(20924, 2055)
(2660, 24636)
(17423, 21163)
(26643, 610)
(22155, 10452)
(21002, 9743)
(21443, 16165)
(9842, 17564)
(645, 1444)
(16649, 3778)
(14107, 8402)
(2792, 23138)
(22258, 8412)
(17030, 12854)
(3768, 18003)
(23548, 17607)
(20037, 3372)
(9763, 2701)
(17506, 2556)
(13349, 6028)
(11609, 26258)
(25533, 14678)
(3987, 19730)
(7310, 13644)
(3926, 11224)
(19717, 21793)
(22117, 7076)
(12784, 510)
(5225, 10403)
(23002, 13819)
(9619, 3)
(11852, 4047)
(21846, 11711)
(26562, 13392)
(303, 9069)
(9664, 7513)
(13582, 3273)
(23854, 8407)
(5808, 11751)
(2191, 9193)
(17067, 13762)
(13011, 17250)
(8735, 12180)
(4053, 8105)
(13384, 22216)
(16697, 13312)
(16519, 17042)
(17706, 7825)
(12739, 20292)
(20299, 23193)
(243, 16069)
(6212, 23374)
(24473, 14256)
(9909, 17543)
(1632, 6391)
(5724, 25505)
(16078, 6694)
(20213, 23134)
(21508, 4516)
(20916, 8705)
(14250, 6063)
(22976, 13942)
(9285, 17347)
(11877, 14411)
(8465, 7308)
(2199, 25593)
(23782, 23917)
(3556, 4628)
(7301, 5262)
(18180, 1594)
(18949, 18452)
(22781, 15780)
(3619, 6009)
(19531, 13278)
(15419, 20213)
(23922, 24645)
(5176, 416)
(26069, 16410)
(622, 6400)
(8501, 5320)
(20944, 21848)
(22860, 17879)
(2854, 13407)
(21453, 16766)
(2843, 4701)
(20622, 7646)
(14658, 16305)
(15102, 1416)
(25414, 18100)
(10720, 9098)
(497, 2787)
(2398, 26628)
(5158, 22273)
(4322, 9647)
(20521, 8612)
(5442, 25645)
(4931, 24873)
(1051, 14410)
(19826, 15208)
(26221, 15545)
(8925, 8241)
(25871, 16405)
(2065, 719)
(14505, 15756)
(2831, 1302)
(15827, 6930)
(9261, 18325)
(3282, 16436)
(12105, 5609)
(6714, 1859)
(26139, 23960)
(2964, 22102)
(9203, 4974)
(10610, 15356)
(12433, 1100)
(1306, 1466)
(19269, 25346)
(1328, 2650)
(19118, 22893)
(22978, 1401)
(19021, 5074)
(18546, 23207)
(6781, 10332)
(26206, 7634)
(7505, 25336)
(17000, 1099)
(20359, 367)
(6719, 6723)
(983, 21621)
(6159, 15325)
(12161, 13189)
(11962, 7114)
